Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R15        R0402                  536mil   3262.051mil        536mil       3262mil        536mil   3243.102mil  T         90.00 10r            
R29        R0402              725.051mil       3099mil        725mil       3099mil    706.102mil       3099mil  T        360.00 100K           
C75        C0603                 1302mil       1675mil       1302mil       1675mil   1275.228mil       1675mil  T        360.00 0603           
C76        C0402              1390.15mil       1676mil       1390mil       1676mil     1371.3mil       1676mil  T        360.00 100nF          
C28        C0402              2491.85mil       2902mil       2492mil       2902mil     2510.7mil       2902mil  T        180.00 100nF          
C33        C0603                 2141mil       2786mil       2141mil       2786mil   2114.228mil       2786mil  T        360.00 0603           
C45        C0402              1597.15mil       2628mil       1597mil       2628mil     1578.3mil       2628mil  T        360.00 100nF          
C47        C0402                 2065mil    2650.15mil       2065mil       2650mil       2065mil     2631.3mil  T         90.00 100nF          
C59        C0402                 2366mil    2019.85mil       2366mil       2020mil       2366mil     2038.7mil  T        270.00 100nF          
C73        C0402                 2142mil    1639.85mil       2142mil       1640mil       2142mil     1658.7mil  T        270.00 100nF          
C53        C0402                 1399mil    2318.85mil       1399mil       2319mil       1399mil     2337.7mil  T        270.00 100nF          
C70        C0402              1352.85mil       2000mil       1353mil       2000mil     1371.7mil       2000mil  T        180.00 100nF          
C41        C0603                 1543mil       2695mil       1543mil       2695mil   1516.228mil       2695mil  T        360.00 3pF            
C42        C0603                 1621mil       2707mil       1621mil       2707mil       1621mil   2733.772mil  T        270.00 3pF            
C72        C0402              2202.15mil       1636mil       2202mil       1636mil     2183.3mil       1636mil  T        360.00 100nF          
C57        C0402                 2367mil    2120.15mil       2367mil       2120mil       2367mil     2101.3mil  T         90.00 100nF          
C46        C0402              2005.85mil       2632mil       2006mil       2632mil     2024.7mil       2632mil  T        180.00 100nF          
C69        C0402              1351.85mil       1960mil       1352mil       1960mil     1370.7mil       1960mil  T        180.00 100nF          
C52        C0402                 1400mil    2241.15mil       1400mil       2241mil       1400mil     2222.3mil  T         90.00 100nF          
C56        C0402                 1385mil    2065.85mil       1385mil       2066mil       1385mil     2084.7mil  T        270.00 100nF          
C44        C0402              2572.15mil       2774mil       2572mil       2774mil     2553.3mil       2774mil  T        360.00 100nF          
C27        C0402                 1190mil    2835.85mil       1190mil       2836mil       1190mil     2854.7mil  T        270.00 100nF          
C24        C0402                  680mil    2845.85mil        680mil       2846mil        680mil     2864.7mil  T        270.00 100nF          
C26        C0402               660.85mil       2766mil        661mil       2766mil      679.7mil       2766mil  T        180.00 100nF          
C50        C0603                 1226mil       2315mil       1226mil       2315mil   1199.228mil       2315mil  T        360.00 0603           
C51        C0402              1384.85mil       2416mil       1385mil       2416mil     1403.7mil       2416mil  T        180.00 100nF          
C43        C0402                 1753mil   2737.142mil       1753mil   2736.992mil       1753mil   2718.292mil  T         90.00 10nF           
C71        C0402                 1488mil    1648.15mil       1488mil       1648mil       1488mil     1629.3mil  T         90.00 100nF          
C49        C0402                 1402mil    2474.15mil       1402mil       2474mil       1402mil     2455.3mil  T         90.00 0402           
L3         C0805             2163.299mil       2719mil       2163mil       2719mil   2125.598mil       2719mil  T        360.00 LQM21FN100M70L 
L7         C0805             1358.701mil       1742mil       1359mil       1742mil   1396.402mil       1742mil  T        180.00 LQM21FN100M70L 
L6         C0805             1069.299mil       2313mil       1069mil       2313mil   1031.598mil       2313mil  T        360.00 LQM21FN100M70L 
R50        R0402                 1295mil   2515.051mil       1295mil       2515mil       1295mil   2496.102mil  T         90.00 24r            
R52        R0402             1374.949mil       2182mil       1375mil       2182mil   1393.898mil       2182mil  T        180.00 100K           
R48        R0402             1213.949mil       2535mil       1214mil       2535mil   1232.898mil       2535mil  T        180.00 24r            
R45        R0402             1214.949mil       2590mil       1215mil       2590mil   1233.898mil       2590mil  T        180.00 24r            
R41        R0402              659.949mil       2611mil        660mil       2611mil    678.898mil       2611mil  T        180.00 24r            
R43        R0402              659.949mil       2572mil        660mil       2572mil    678.898mil       2572mil  T        180.00 24r            
R44        R0402                 1295mil   2607.949mil       1295mil       2608mil       1295mil   2626.898mil  T        270.00 24r            
R49        R0402                 1360mil   2474.949mil       1360mil       2475mil       1360mil   2493.898mil  T        270.00 6.8K           
U8         ADuM4160               935mil       2691mil        935mil       2691mil    754.882mil       2866mil  T        360.00 ADuM4160       
