Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   8479.741mil    378.937mil   8479.741mil    378.937mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil   8479.741mil   4237.796mil   8479.741mil   4237.796mil   8479.741mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   4237.796mil     131.89mil   4237.796mil     131.89mil   4237.796mil     131.89mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
R78        R0402             3664.401mil   2386.099mil    3664.35mil   2386.099mil   3645.452mil   2386.099mil  T        360.00 100K           
R60        2512R-0.55        3466.937mil    815.795mil   3466.937mil    815.795mil   3466.937mil    699.654mil  T         90.00 2512           
R59        R0402              403.886mil   1034.937mil    403.937mil   1034.937mil    422.835mil   1034.937mil  T        180.00 1M             
R58        R0402              892.886mil   1064.937mil    892.937mil   1064.937mil    911.835mil   1064.937mil  T        180.00 100K           
R57        R0402              892.886mil   1105.937mil    892.937mil   1105.937mil    911.835mil   1105.937mil  T        180.00 10K            
R56        R0402              970.886mil   1105.937mil    970.937mil   1105.937mil    989.835mil   1105.937mil  T        180.00 10K            
R50        R0402             3002.937mil   1872.886mil   3002.937mil   1872.835mil   3002.937mil   1853.937mil  T         90.00 2k37           
R44        R0402             2941.886mil   1853.937mil   2941.835mil   1853.937mil   2922.937mil   1853.937mil  T        360.00 2k37           
J27        4POL254           3748.937mil    398.937mil   3748.937mil    398.937mil   3898.937mil    398.937mil  T        180.00 Molex 0705430003
J26        4POL254           3153.937mil    398.937mil   3153.937mil    398.937mil   3303.937mil    398.937mil  T        180.00 Molex 0705430003
J23        4POL254           1458.937mil    398.937mil   1458.937mil    398.937mil   1608.937mil    398.937mil  T        180.00 Molex 0705430003
FB20       FB0603            1508.937mil    566.756mil   1508.937mil    566.756mil   1508.937mil    592.937mil  T        270.00 220R           
FB19       FB0603            1608.937mil    566.118mil   1608.937mil    566.118mil   1608.937mil    592.299mil  T        270.00 220R           
FB18       FB0603            1406.937mil    566.756mil   1406.937mil    566.756mil   1406.937mil    592.937mil  T        270.00 220R           
FB17       FB0603            1308.937mil    565.937mil   1308.937mil    565.937mil   1308.937mil    592.118mil  T        270.00 220R           
FB16       FB0603            3203.937mil    566.118mil   3203.937mil    566.118mil   3203.937mil    592.299mil  T        270.00 220R           
FB15       FB0603            3303.937mil    565.937mil   3303.937mil    565.937mil   3303.937mil    592.118mil  T        270.00 220R           
FB14       FB0603            3103.937mil    565.937mil   3103.937mil    565.937mil   3103.937mil    592.118mil  T        270.00 220R           
FB13       FB0603            3003.937mil    566.118mil   3003.937mil    566.118mil   3003.937mil    592.299mil  T        270.00 220R           
FB12       FB0603            3798.937mil    566.118mil   3798.937mil    566.118mil   3798.937mil    592.299mil  T        270.00 220R           
FB11       FB0603            3898.937mil    566.118mil   3898.937mil    566.118mil   3898.937mil    592.299mil  T        270.00 220R           
FB10       FB0603            3698.937mil    566.118mil   3698.937mil    566.118mil   3698.937mil    592.299mil  T        270.00 220R           
FB9        FB0603            3598.937mil    566.118mil   3598.937mil    566.118mil   3598.937mil    592.299mil  T        270.00 220R           
FB8        FB0603            2103.937mil    566.118mil   2103.937mil    566.118mil   2103.937mil    592.299mil  T        270.00 220R           
FB7        FB0603            2203.937mil    566.118mil   2203.937mil    566.118mil   2203.937mil    592.299mil  T        270.00 220R           
FB6        FB0603            2003.937mil    565.937mil   2003.937mil    565.937mil   2003.937mil    592.118mil  T        270.00 220R           
FB5        FB0603            1903.937mil    566.118mil   1903.937mil    566.118mil   1903.937mil    592.299mil  T        270.00 220R           
FB4        FB0603             908.937mil    565.756mil    908.937mil    565.756mil    908.937mil    591.937mil  T        270.00 220R           
FB3        FB0603            1006.937mil    570.937mil   1006.937mil    570.937mil   1006.937mil    597.118mil  T        270.00 220R           
FB2        FB0603             807.937mil    569.756mil    807.937mil    569.756mil    807.937mil    595.937mil  T        270.00 220R           
FB1        FB0603             708.937mil    565.937mil    708.937mil    565.937mil    708.937mil    592.118mil  T        270.00 220R           
D41        SOD523_           3731.511mil   1894.557mil   3731.511mil   1894.557mil    3759.07mil   1894.557mil  T        360.00 BAT54          
D40        SOD523_           3731.937mil   1938.937mil   3731.937mil   1938.937mil   3704.378mil   1938.937mil  T        180.00 BAT54          
D39        SOD523_           3350.937mil   1890.937mil   3350.937mil   1890.937mil   3350.937mil   1918.496mil  T         90.00 BAT54          
D38        SOD523_           3308.937mil   1890.937mil   3308.937mil   1890.937mil   3308.937mil   1863.378mil  T        270.00 BAT54          
D37        SOD523_           3160.937mil   1901.937mil   3160.937mil   1901.937mil   3160.937mil   1929.496mil  T         90.00 BAT54          
D36        SOD523_           3118.937mil   1902.937mil   3118.937mil   1902.937mil   3118.937mil   1875.378mil  T        270.00 BAT54          
D35        SOD923-100X40-2N    3661.09mil   2304.527mil    3661.09mil   2304.527mil   3643.374mil   2304.527mil  T        180.00 ESD9B3.3ST5G   
C163       C0402             3665.249mil   1873.214mil   3665.249mil   1873.063mil   3665.249mil   1854.363mil  T         90.00 100nF          
C162       C0402             3270.432mil   1842.671mil   3270.432mil   1842.521mil   3270.432mil   1823.821mil  T         90.00 100nF          
C161       C0402             3080.937mil   1857.087mil   3080.937mil   1856.937mil   3080.937mil   1838.237mil  T         90.00 100nF          
C160       C0402              3664.38mil   2344.679mil    3664.23mil   2344.679mil    3645.53mil   2344.679mil  T        360.00 10nF           
C159       C0402             3544.546mil   2349.833mil   3544.396mil   2349.833mil   3525.696mil   2349.833mil  T        360.00 10nF           
C158       C0402             3289.087mil   2350.416mil   3288.937mil   2350.416mil   3270.237mil   2350.416mil  T        360.00 10nF           
